name,depth,path,has_children
requests,0,requests,True
adapters,1,requests.adapters,True
SOCKSProxyManager,2,requests.adapters.SOCKSProxyManager,False
BaseAdapter,2,requests.adapters.BaseAdapter,True
BaseAdapter,3,requests.adapters.BaseAdapter.BaseAdapter,False
send,3,requests.adapters.BaseAdapter.send,False
close,3,requests.adapters.BaseAdapter.close,False
HTTPAdapter,2,requests.adapters.HTTPAdapter,True
HTTPAdapter,3,requests.adapters.HTTPAdapter.HTTPAdapter,False
init_poolmanager,3,requests.adapters.HTTPAdapter.init_poolmanager,False
proxy_manager_for,3,requests.adapters.HTTPAdapter.proxy_manager_for,False
cert_verify,3,requests.adapters.HTTPAdapter.cert_verify,False
build_response,3,requests.adapters.HTTPAdapter.build_response,False
get_connection,3,requests.adapters.HTTPAdapter.get_connection,False
close,3,requests.adapters.HTTPAdapter.close,False
request_url,3,requests.adapters.HTTPAdapter.request_url,False
add_headers,3,requests.adapters.HTTPAdapter.add_headers,False
proxy_headers,3,requests.adapters.HTTPAdapter.proxy_headers,False
send,3,requests.adapters.HTTPAdapter.send,False
get_connection_with_tls_context,3,requests.adapters.HTTPAdapter.get_connection_with_tls_context,False
build_connection_pool_key_attributes,3,requests.adapters.HTTPAdapter.build_connection_pool_key_attributes,False
extract_cookies_to_jar,2,requests.adapters.extract_cookies_to_jar,False
ConnectionError,2,requests.adapters.ConnectionError,True
ConnectionError,3,requests.adapters.ConnectionError.ConnectionError,False
ConnectTimeout,2,requests.adapters.ConnectTimeout,True
ConnectTimeout,3,requests.adapters.ConnectTimeout.ConnectTimeout,False
InvalidHeader,2,requests.adapters.InvalidHeader,True
InvalidHeader,3,requests.adapters.InvalidHeader.InvalidHeader,False
InvalidProxyURL,2,requests.adapters.InvalidProxyURL,True
InvalidProxyURL,3,requests.adapters.InvalidProxyURL.InvalidProxyURL,False
InvalidSchema,2,requests.adapters.InvalidSchema,True
InvalidSchema,3,requests.adapters.InvalidSchema.InvalidSchema,False
InvalidURL,2,requests.adapters.InvalidURL,True
InvalidURL,3,requests.adapters.InvalidURL.InvalidURL,False
ProxyError,2,requests.adapters.ProxyError,True
ProxyError,3,requests.adapters.ProxyError.ProxyError,False
ReadTimeout,2,requests.adapters.ReadTimeout,True
ReadTimeout,3,requests.adapters.ReadTimeout.ReadTimeout,False
RetryError,2,requests.adapters.RetryError,True
RetryError,3,requests.adapters.RetryError.RetryError,False
SSLError,2,requests.adapters.SSLError,True
SSLError,3,requests.adapters.SSLError.SSLError,False
Response,2,requests.adapters.Response,True
Response,3,requests.adapters.Response.Response,False
ok,3,requests.adapters.Response.ok,False
is_redirect,3,requests.adapters.Response.is_redirect,False
is_permanent_redirect,3,requests.adapters.Response.is_permanent_redirect,False
next,3,requests.adapters.Response.next,False
apparent_encoding,3,requests.adapters.Response.apparent_encoding,False
iter_content,3,requests.adapters.Response.iter_content,False
iter_lines,3,requests.adapters.Response.iter_lines,False
content,3,requests.adapters.Response.content,False
text,3,requests.adapters.Response.text,False
json,3,requests.adapters.Response.json,False
links,3,requests.adapters.Response.links,False
raise_for_status,3,requests.adapters.Response.raise_for_status,False
close,3,requests.adapters.Response.close,False
PreparedRequest,2,requests.adapters.PreparedRequest,True
PreparedRequest,3,requests.adapters.PreparedRequest.PreparedRequest,False
prepare,3,requests.adapters.PreparedRequest.prepare,False
copy,3,requests.adapters.PreparedRequest.copy,False
prepare_method,3,requests.adapters.PreparedRequest.prepare_method,False
prepare_url,3,requests.adapters.PreparedRequest.prepare_url,False
prepare_headers,3,requests.adapters.PreparedRequest.prepare_headers,False
prepare_body,3,requests.adapters.PreparedRequest.prepare_body,False
prepare_content_length,3,requests.adapters.PreparedRequest.prepare_content_length,False
prepare_auth,3,requests.adapters.PreparedRequest.prepare_auth,False
prepare_cookies,3,requests.adapters.PreparedRequest.prepare_cookies,False
prepare_hooks,3,requests.adapters.PreparedRequest.prepare_hooks,False
CaseInsensitiveDict,2,requests.adapters.CaseInsensitiveDict,True
CaseInsensitiveDict,3,requests.adapters.CaseInsensitiveDict.CaseInsensitiveDict,False
lower_items,3,requests.adapters.CaseInsensitiveDict.lower_items,False
copy,3,requests.adapters.CaseInsensitiveDict.copy,False
extract_zipped_paths,2,requests.adapters.extract_zipped_paths,False
get_auth_from_url,2,requests.adapters.get_auth_from_url,False
get_encoding_from_headers,2,requests.adapters.get_encoding_from_headers,False
prepend_scheme_if_needed,2,requests.adapters.prepend_scheme_if_needed,False
select_proxy,2,requests.adapters.select_proxy,False
urldefragauth,2,requests.adapters.urldefragauth,False
api,1,requests.api,True
request,2,requests.api.request,False
get,2,requests.api.get,False
options,2,requests.api.options,False
head,2,requests.api.head,False
post,2,requests.api.post,False
put,2,requests.api.put,False
patch,2,requests.api.patch,False
delete,2,requests.api.delete,False
auth,1,requests.auth,True
AuthBase,2,requests.auth.AuthBase,True
AuthBase,3,requests.auth.AuthBase.AuthBase,False
HTTPBasicAuth,2,requests.auth.HTTPBasicAuth,True
HTTPBasicAuth,3,requests.auth.HTTPBasicAuth.HTTPBasicAuth,False
HTTPProxyAuth,2,requests.auth.HTTPProxyAuth,True
HTTPProxyAuth,3,requests.auth.HTTPProxyAuth.HTTPProxyAuth,False
HTTPDigestAuth,2,requests.auth.HTTPDigestAuth,True
HTTPDigestAuth,3,requests.auth.HTTPDigestAuth.HTTPDigestAuth,False
init_per_thread_state,3,requests.auth.HTTPDigestAuth.init_per_thread_state,False
build_digest_header,3,requests.auth.HTTPDigestAuth.build_digest_header,False
handle_redirect,3,requests.auth.HTTPDigestAuth.handle_redirect,False
handle_401,3,requests.auth.HTTPDigestAuth.handle_401,False
to_native_string,2,requests.auth.to_native_string,False
extract_cookies_to_jar,2,requests.auth.extract_cookies_to_jar,False
parse_dict_header,2,requests.auth.parse_dict_header,False
certs,1,requests.certs,False
compat,1,requests.compat,False
cookies,1,requests.cookies,True
MockRequest,2,requests.cookies.MockRequest,True
MockRequest,3,requests.cookies.MockRequest.MockRequest,False
get_type,3,requests.cookies.MockRequest.get_type,False
get_host,3,requests.cookies.MockRequest.get_host,False
get_origin_req_host,3,requests.cookies.MockRequest.get_origin_req_host,False
get_full_url,3,requests.cookies.MockRequest.get_full_url,False
is_unverifiable,3,requests.cookies.MockRequest.is_unverifiable,False
has_header,3,requests.cookies.MockRequest.has_header,False
get_header,3,requests.cookies.MockRequest.get_header,False
add_header,3,requests.cookies.MockRequest.add_header,False
add_unredirected_header,3,requests.cookies.MockRequest.add_unredirected_header,False
get_new_headers,3,requests.cookies.MockRequest.get_new_headers,False
unverifiable,3,requests.cookies.MockRequest.unverifiable,False
origin_req_host,3,requests.cookies.MockRequest.origin_req_host,False
host,3,requests.cookies.MockRequest.host,False
MockResponse,2,requests.cookies.MockResponse,True
MockResponse,3,requests.cookies.MockResponse.MockResponse,False
info,3,requests.cookies.MockResponse.info,False
getheaders,3,requests.cookies.MockResponse.getheaders,False
extract_cookies_to_jar,2,requests.cookies.extract_cookies_to_jar,False
get_cookie_header,2,requests.cookies.get_cookie_header,False
remove_cookie_by_name,2,requests.cookies.remove_cookie_by_name,False
CookieConflictError,2,requests.cookies.CookieConflictError,True
CookieConflictError,3,requests.cookies.CookieConflictError.CookieConflictError,False
RequestsCookieJar,2,requests.cookies.RequestsCookieJar,True
RequestsCookieJar,3,requests.cookies.RequestsCookieJar.RequestsCookieJar,False
get,3,requests.cookies.RequestsCookieJar.get,False
set,3,requests.cookies.RequestsCookieJar.set,False
iterkeys,3,requests.cookies.RequestsCookieJar.iterkeys,False
keys,3,requests.cookies.RequestsCookieJar.keys,False
itervalues,3,requests.cookies.RequestsCookieJar.itervalues,False
values,3,requests.cookies.RequestsCookieJar.values,False
iteritems,3,requests.cookies.RequestsCookieJar.iteritems,False
items,3,requests.cookies.RequestsCookieJar.items,False
list_domains,3,requests.cookies.RequestsCookieJar.list_domains,False
list_paths,3,requests.cookies.RequestsCookieJar.list_paths,False
